timestamp,batch_name,gateway,model,api,provider,scenario_name,continent,country_code,city,region,as_name,conn_type,ttft,ttfb,total_time,success,error,finish_reason,model_used,flow_host,flow_remote_ip,flow_alpn,flow_http_status,flow_server,flow_conn_fresh
2026-08-05 01:28:16.219+00,batch-1785893293732,OpenAI (Direct),gpt-5.4,openai,openai,simple,AS,HK,hong kong,NO REGION,google llc,Wired,0,,0,false,"403 Country, region, or territory not supported",,,,,,,,
2026-08-05 01:28:17.740+00,batch-1785893293732,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AS,HK,hong kong,NO REGION,google llc,Wired,0,,0,false,"HTTP 403: {
  ""error"": {
    ""type"": ""forbidden"",
    ""message"": ""Request not allowed""
  }
}",,,,,,,,
2026-08-05 01:28:19.826+00,batch-1785893293612,OpenAI (Direct),gpt-5.4,openai,openai,simple,AS,JP,大阪市,27,google llc,Wired,1030,995,2479,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:28:20.367+00,batch-1785893292986,OpenAI (Direct),gpt-5.4,openai,openai,simple,AF,ZA,johannesburg,GP,google llc,Wired,988,957,2381,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:28:23.152+00,batch-1785893297662,OpenAI (Direct),gpt-5.4,openai,openai,simple,AS,TW,taipei,TPE,google llc,Wired,613,609,2115,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:28:23.238+00,batch-1785893293732,Edgee,gpt-5.4,openai,openai,simple,AS,HK,hong kong,NO REGION,google llc,Wired,903,69,2220,true,,stop,gpt-5.4-2026-03-05,edgee.io,43.209.112.53,http/1.1,200,,false
2026-08-05 01:28:27.714+00,batch-1785893293612,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AS,JP,大阪市,27,google llc,Wired,933,932,4953,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:28:27.816+00,batch-1785893292986,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AF,ZA,johannesburg,GP,google llc,Wired,1007,1006,4578,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:28:30.603+00,batch-1785893297662,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AS,TW,taipei,TPE,google llc,Wired,968,967,4477,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:28:31.444+00,batch-1785893293732,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,AS,HK,hong kong,NO REGION,google llc,Wired,1307,176,5310,true,,end_turn,claude-sonnet-4-6,edgee.io,43.209.112.53,http/1.1,200,,true
2026-08-05 01:28:32.439+00,batch-1785893293612,Edgee,gpt-5.4,openai,openai,simple,AS,JP,大阪市,27,google llc,Wired,750,24,2361,true,,stop,gpt-5.4-2026-03-05,edgee.io,16.209.28.8,http/1.1,200,,false
2026-08-05 01:28:33.044+00,batch-1785893293732,OpenRouter,gpt-5.4,openai,openai,simple,AS,HK,hong kong,NO REGION,google llc,Wired,0,,0,false,403 This model is not available in your region.,,,,,,,,
2026-08-05 01:28:33.439+00,batch-1785893292986,Edgee,gpt-5.4,openai,openai,simple,AF,ZA,johannesburg,GP,google llc,Wired,958,39,2563,true,,stop,gpt-5.4-2026-03-05,edgee.io,13.246.183.162,http/1.1,200,,false
2026-08-05 01:28:34.422+00,batch-1785893293732,OpenRouter,claude-sonnet-4-6,anthropic,anthropic,simple,AS,HK,hong kong,NO REGION,google llc,Wired,0,,0,false,"HTTP 403: {""error"":{""message"":""This model is not available in your region."",""code"":403}}",,,,,,,,
2026-08-05 01:28:35.804+00,batch-1785893297662,Edgee,gpt-5.4,openai,openai,simple,AS,TW,taipei,TPE,google llc,Wired,852,67,2330,true,,stop,gpt-5.4-2026-03-05,edgee.io,15.164.3.249,http/1.1,200,,false
2026-08-05 01:28:39.929+00,batch-1785893293612,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,AS,JP,大阪市,27,google llc,Wired,1000,30,4799,true,,end_turn,claude-sonnet-4-6,edgee.io,16.209.28.8,http/1.1,200,,true
2026-08-05 01:28:40.943+00,batch-1785893292986,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,AF,ZA,johannesburg,GP,google llc,Wired,1177,91,4745,true,,end_turn,claude-sonnet-4-6,edgee.io,13.246.183.162,http/1.1,200,,true
2026-08-05 01:28:43.754+00,batch-1785893297662,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,AS,TW,taipei,TPE,google llc,Wired,1374,178,5229,true,,end_turn,claude-sonnet-4-6,edgee.io,52.79.104.140,http/1.1,200,,true
2026-08-05 01:28:44.882+00,batch-1785893293612,OpenRouter,gpt-5.4,openai,openai,simple,AS,JP,大阪市,27,google llc,Wired,892,583,2244,true,,stop,openai/gpt-5.4,openrouter.ai,,,200,cloudflare,
2026-08-05 01:28:46.114+00,batch-1785893292986,OpenRouter,gpt-5.4,openai,openai,simple,AF,ZA,johannesburg,GP,google llc,Wired,1017,773,2379,true,,stop,openai/gpt-5.4,openrouter.ai,,,200,cloudflare,
2026-08-05 01:28:49.454+00,batch-1785893297662,OpenRouter,gpt-5.4,openai,openai,simple,AS,TW,taipei,TPE,google llc,Wired,1515,739,2551,true,,stop,openai/gpt-5.4,openrouter.ai,,,200,cloudflare,
2026-08-05 01:28:52.378+00,batch-1785893327286,OpenAI (Direct),gpt-5.4,openai,openai,simple,AS,JP,tokyo,13,google llc,Wired,676,673,2148,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:28:53.324+00,batch-1785893293612,OpenRouter,claude-sonnet-4-6,anthropic,anthropic,simple,AS,JP,大阪市,27,google llc,Wired,1081,1080,4760,true,,end_turn,anthropic/claude-sonnet-4.6,openrouter.ai,104.18.2.115,http/1.1,200,cloudflare,true
2026-08-05 01:28:54.991+00,batch-1785893292986,OpenRouter,claude-sonnet-4-6,anthropic,anthropic,simple,AF,ZA,johannesburg,GP,google llc,Wired,2326,2324,5879,true,,end_turn,anthropic/claude-sonnet-4.6,openrouter.ai,104.18.3.115,http/1.1,200,cloudflare,true
2026-08-05 01:28:57.637+00,batch-1785893297662,OpenRouter,claude-sonnet-4-6,anthropic,anthropic,simple,AS,TW,taipei,TPE,google llc,Wired,1506,1502,5394,true,,end_turn,anthropic/claude-sonnet-4.6,openrouter.ai,104.18.2.115,http/1.1,200,cloudflare,true
2026-08-05 01:28:59.642+00,batch-1785893327286,Anthropic (Direct),claude-sonnet-4-6,anthropic,anthropic,simple,AS,JP,tokyo,13,google llc,Wired,950,949,4691,true,,end_turn,claude-sonnet-4-6,api.anthropic.com,160.79.104.10,http/1.1,200,cloudflare,false
2026-08-05 01:29:03.797+00,batch-1785893327286,Edgee,gpt-5.4,openai,openai,simple,AS,JP,tokyo,13,google llc,Wired,570,19,1924,true,,stop,gpt-5.4-2026-03-05,edgee.io,3.115.41.243,http/1.1,200,,false
2026-08-05 01:29:07.893+00,batch-1785893293732,TrueFoundry,gpt-5.4,openai,openai,simple,AS,HK,hong kong,NO REGION,google llc,Wired,905,881,2416,true,,stop,gpt-5.4-2026-03-05,gateway.truefoundry.ai,,,200,cloudflare,
2026-08-05 01:29:11.088+00,batch-1785893327286,Edgee,claude-sonnet-4-6,anthropic,anthropic,simple,AS,JP,tokyo,13,google llc,Wired,996,34,4718,true,,end_turn,claude-sonnet-4-6,edgee.io,3.115.41.243,http/1.1,200,,true
2026-08-05 01:29:15.633+00,batch-1785893327286,OpenRouter,gpt-5.4,openai,openai,simple,AS,JP,tokyo,13,google llc,Wired,874,610,2169,true,,stop,openai/gpt-5.4,openrouter.ai,,,200,cloudflare,
2026-08-05 01:29:16.220+00,batch-1785893293732,TrueFoundry,claude-sonnet-4-6,openai,anthropic,simple,AS,HK,hong kong,NO REGION,google llc,Wired,1231,1231,5147,true,,stop,claude-sonnet-4-6,gateway.truefoundry.ai,,,200,cloudflare,
2026-08-05 01:29:17.358+00,batch-1785893351729,OpenAI (Direct),gpt-5.4,openai,openai,simple,AS,IN,new delhi,DL,google llc,Wired,630,626,2327,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
2026-08-05 01:29:22.876+00,batch-1785893357878,OpenAI (Direct),gpt-5.4,openai,openai,simple,AS,KR,seoul,11,google llc,Wired,630,603,2022,true,,stop,gpt-5.4-2026-03-05,api.openai.com,,,200,cloudflare,
