model,gateway,n,n_ok,success_rate,ttft_p50,ttft_p90,ttft_p95,ttfb_p50,total_time_p50
claude-sonnet-4-6,Anthropic (Direct),1175,1147,0.9762,1114,2031,2692,1108,4950
claude-sonnet-4-6,Cloudflare,1161,1161,1,1140,2155,3036,1139,4970
claude-sonnet-4-6,Edgee,1175,1175,1,1215,2111,2841,46,5057
claude-sonnet-4-6,TrueFoundry,1161,1161,1,1232,2120,2841,1231,5031
claude-sonnet-4-6,Vercel,1161,1161,1,1307,2379,3225,1298,5135
claude-sonnet-4-6,OpenRouter,1175,1147,0.9762,1321,2323,3006,1311,5139
claude-sonnet-4-6,Kong,1161,1161,1,5101,6101,7113,5100,5102
gpt-5.4,OpenAI (Direct),1175,1147,0.9762,774,1226,1501,762,2392
gpt-5.4,Edgee,1175,1175,1,798,1302,1574,22,2430
gpt-5.4,Cloudflare,1161,1133,0.9759,811,1154,1401,799,2326
gpt-5.4,TrueFoundry,1167,1167,1,869,1282,1598,839,2436
gpt-5.4,Vercel,1161,1161,1,938,1650,2141,928,2706
gpt-5.4,OpenRouter,1175,1147,0.9762,1020,1806,2440,626,2694
gpt-5.4,Kong,1161,1161,1,1718,2260,2548,1717,2515
